,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
144,2023-03-08,2023,8,thu,1900-01-01 09:40:00,con heridos,caida ocupante,carrera 53 entre calle 92 y 94,1,1,,144,11.01225,-74.82209
145,2023-03-08,2023,8,thu,1900-01-01 12:30:00,con heridos,choque,calle 56 carrera 15,2,1,,145,10.96059,-74.80427
146,2023-03-09,2023,9,sun,1900-01-01 03:30:00,con heridos,choque,calle 110 cra 43 circunvalar,1,1,,146,10.93628,-74.83451
147,2023-03-09,2023,9,sun,1900-01-01 04:20:00,con heridos,choque,via 40 calle 58,1,1,,147,11.00449,-74.78754
148,2023-03-09,2023,9,sun,1900-01-01 06:55:00,con heridos,choque,calle 110 glorieta ventana al mundo,2,1,,148,10.97286,-74.83714
149,2023-03-09,2023,9,sun,1900-01-01 22:30:00,con muertos,choque,calle 91 con cra 2c,1,1,1,149,10.93738,-74.82492
150,2023-03-09,2023,9,sun,1900-01-01 23:45:00,con heridos,choque,carrera 51b calle 86,2,1,,150,11.00704,-74.81992
151,2023-03-10,2023,10,tue,1900-01-01 16:00:00,con heridos,choque,calle 94 con carrera 64,2,1,,151,11.01733,-74.8191
152,2023-03-10,2023,10,tue,1900-01-01 06:50:00,con heridos,choque,carrera 34 calle 71,1,1,,152,10.98245,-74.81084
153,2023-03-11,2023,11,fri,1900-01-01 13:30:00,con heridos,choque,calle 56 # 10b - 08,1,1,,153,32.61292,-115.45929
154,2023-03-11,2023,11,fri,1900-01-01 16:00:00,con heridos,choque,calle 85 carrera 42g,1,1,,154,10.99777,-74.82327
155,2023-03-11,2023,11,fri,1900-01-01 09:00:00,con heridos,choque,calle 85 carrera 35,1,1,,155,10.98414,-74.81751
156,2023-03-11,2023,11,fri,1900-01-01 21:50:00,con muertos,choque,cra 38 con calle 52,1,1,1,156,10.97634,-74.7769
157,2023-03-11,2023,11,fri,1900-01-01 10:40:00,con heridos,choque,calle 110 carrera 12b,12,1,,157,10.97286,-74.83714
158,2023-03-11,2023,11,fri,1900-01-01 11:00:00,con heridos,choque,calle 110 carrera 39b,1,1,,158,10.97286,-74.83714
159,2023-03-11,2023,11,fri,1900-01-01 23:00:00,con heridos,choque,calle 110 carrera 13,3,1,,159,10.96835,-74.83805
160,2023-03-11,2023,11,fri,1900-01-01 23:45:00,con heridos,choque,calle 110 carrera 43,1,1,,160,10.99217,-74.80805
161,2023-04-01,2023,1,wed,1900-01-01 13:10:00,con heridos,choque,calle 53d carrera 20,2,1,,161,10.96583,-74.8016
162,2023-04-01,2023,1,wed,1900-01-01 17:10:00,con heridos,choque,avenida circunvalar con carrera 30,2,1,,162,10.97783,-74.80153
163,2023-04-01,2023,1,wed,1900-01-01 17:10:00,con heridos,choque,carrera 26 con calle 113,1,1,,163,10.97442,-74.83979
164,2023-04-01,2023,1,wed,1900-01-01 17:30:00,con heridos,choque,carrera 46 calle 110,1,1,,164,10.97426,-74.83621
165,2023-04-01,2023,1,wed,1900-01-01 18:00:00,con heridos,choque,carrera 56 calle 72,1,1,,165,11.00008,-74.80003
166,2023-04-01,2023,1,wed,1900-01-01 06:45:00,con heridos,choque,carrera 15 sur calle 104,1,1,,166,10.96221,-74.80741
167,2023-04-02,2023,2,sat,1900-01-01 01:00:00,con heridos,choque,calle 110 cra 9g,1,1,,167,10.95856,-74.82362
168,2023-04-02,2023,2,sat,1900-01-01 17:50:00,con heridos,atropello,carrera 14 sur calle 47 norte sur,1,1,,168,7.89434,-72.53368
169,2023-04-02,2023,2,sat,1900-01-01 19:04:00,con heridos,choque,carrera 9g con calle 80,1,1,,169,10.95865,-74.82257
170,2023-04-02,2023,2,sat,1900-01-01 19:30:00,con heridos,atropello,calle 45 carrera 11 sur,2,1,,170,10.92906,-74.78652
171,2023-04-02,2023,2,sat,1900-01-01 20:00:00,con heridos,choque,calle 36b # 8c-214,1,1,,171,3.53467,-76.27848
172,2023-04-03,2023,3,sat,1900-01-01 15:00:00,con heridos,choque,calle 90 carrera 3 sur,1,1,,172,10.93843,-74.82408
173,2023-04-03,2023,3,sat,1900-01-01 06:05:00,con heridos,choque,carrera 70 con calle 79,1,1,,173,11.01457,-74.80407
174,2023-04-03,2023,3,sat,1900-01-01 07:30:00,con heridos,choque,calle 114 carrera 34,2,1,,174,10.9792,-74.83829
175,2023-04-03,2023,3,sat,1900-01-01 20:50:00,con heridos,otro,calle 19 con cra 1,1,1,,175,10.93247,-74.81706
176,2023-04-03,2023,3,sat,1900-01-01 11:00:00,con heridos,choque,calle 87 carrera 50,1,1,,176,11.00566,-74.82159
177,2023-04-03,2023,3,sat,1900-01-01 11:00:00,con heridos,choque,circunvalar con carrera 51 b,1,1,,177,10.94405,-74.76782
178,2023-04-04,2023,4,tue,1900-01-01 18:20:00,con heridos,choque,carrera 43 calle 3,2,1,,178,10.98262,-74.7651
179,2023-04-04,2023,4,tue,1900-01-01 06:40:00,con heridos,choque,calle 77 carrera 74,1,1,,179,11.01474,-74.79645
180,2023-04-04,2023,4,tue,1900-01-01 07:40:00,con heridos,choque,calle 40 con carrera 40,1,1,,180,11.00648,-74.78962
181,2023-04-04,2023,4,tue,1900-01-01 09:45:00,con heridos,atropello,carrera 21 con calle 68,1,1,,181,10.9675,-74.80155
182,2023-04-04,2023,4,tue,1900-01-01 10:00:00,con heridos,choque,calle 65 con carrera 35,3,1,,182,10.98294,-74.80223
183,2023-04-05,2023,5,thu,1900-01-01 06:20:00,con heridos,choque,calle 110 con carrera 9,2,1,,183,10.94938,-74.77577
184,2023-04-05,2023,5,thu,1900-01-01 06:40:00,con heridos,choque,carrera 53 calle 55,1,1,,184,10.99178,-74.79115
185,2023-04-05,2023,5,thu,1900-01-01 09:00:00,con heridos,choque,calle 69b cra 31,1,1,,185,10.98041,-74.80688
186,2023-04-05,2023,5,thu,1900-01-01 21:00:00,con heridos,otro,av. circunvalar carrera 5,1,1,,186,10.93225,-74.782
187,2023-04-05,2023,5,thu,1900-01-01 22:00:00,con heridos,choque,calle 24 carrera 7,2,1,,187,10.94764,-74.77789
188,2023-04-05,2023,5,thu,1900-01-01 22:00:00,con heridos,choque,carrera 50 calle 54,1,1,,188,10.99074,-74.7906
189,2023-04-05,2023,5,thu,1900-01-01 11:20:00,con heridos,choque,calle 85 cra 65,1,1,,189,11.01551,-74.81134
